GeneName	GoTerm
YBL009W	GO:0072355
YBL010C	GO:0008150
YBL011W	GO:0008654
YBL011W	GO:0006629
YBL011W	GO:0016024
YBL013W	GO:0009058
YBL013W	GO:0006412
YBL013W	GO:0071951
YBL013W	GO:0006413
YBL014C	GO:0006361
YBL014C	GO:0042790
YBL014C	GO:0001188
YBL015W	GO:0006084
YBL015W	GO:0006083
YBL015W	GO:0019679
YBL016W	GO:0071310
YBL016W	GO:0043409
YBL016W	GO:0071507
YBL016W	GO:0071470
YBL016W	GO:0010526
YBL016W	GO:0007050
YBL016W	GO:0006468
YBL016W	GO:0010468
YBL016W	GO:0046777
YBL016W	GO:0051301
YBL016W	GO:0016310
YBL016W	GO:0000746
YBL016W	GO:0001403
YBL016W	GO:0000750
YBL016W	GO:0046827
YBL016W	GO:0007049
YBL016W	GO:0035556
YBL017C	GO:0007034
YBL017C	GO:0006896
YBL017C	GO:0015031
YBL017C	GO:0006895
YBL017C	GO:0006623
YBL017C	GO:0006892
YBL018C	GO:0034965
YBL018C	GO:0008033
YBL018C	GO:0090502
YBL018C	GO:0000294
YBL018C	GO:0006379
YBL018C	GO:0006364
YBL019W	GO:0006284
YBL019W	GO:0006281
YBL019W	GO:0090305
YBL019W	GO:0006974
YBL020W	GO:0008643
YBL020W	GO:0034203
YBL020W	GO:0006869
YBL021C	GO:0000436
YBL021C	GO:0043457
YBL021C	GO:0006355
YBL022C	GO:0007005
YBL022C	GO:0006508
YBL022C	GO:0034599
YBL022C	GO:0006515
YBL022C	GO:0051131
YBL022C	GO:0070407
YBL022C	GO:0030163
YBL023C	GO:1902975
YBL023C	GO:1905775
YBL023C	GO:0006260
YBL023C	GO:0006270
YBL023C	GO:0007049
YBL023C	GO:0006974
YBL023C	GO:0006271
YBL023C	GO:0006267
YBL023C	GO:0006268
YBL023C	GO:0000727
YBL024W	GO:0030488
YBL024W	GO:0008033
YBL024W	GO:0032259
YBL024W	GO:0002127
YBL024W	GO:0070301
YBL025W	GO:0042790
YBL025W	GO:0006360
YBL026W	GO:0006364
YBL026W	GO:0006397
YBL026W	GO:0008380
YBL026W	GO:0008033
YBL026W	GO:0000398
YBL027W	GO:0002181
YBL027W	GO:0006412
YBL028C	GO:0008150
YBL029C-A	GO:0008150
YBL029W	GO:0008150
YBL030C	GO:0006839
YBL030C	GO:0015867
YBL030C	GO:0015866
YBL030C	GO:0009061
YBL030C	GO:0009060
YBL030C	GO:0055085
YBL030C	GO:0015886
YBL030C	GO:0006915
YBL031W	GO:2000575
YBL031W	GO:0007059
YBL031W	GO:0007049
YBL031W	GO:0051301
YBL031W	GO:0000022
YBL032W	GO:0048255
YBL032W	GO:0007004
YBL032W	GO:0008298
YBL032W	GO:0006325
YBL032W	GO:0051028
YBL032W	GO:0006417
YBL032W	GO:0000723
YBL033C	GO:0009231
YBL034C	GO:0090307
YBL034C	GO:0008608
YBL034C	GO:0007049
YBL034C	GO:0051301
YBL035C	GO:0071897
YBL035C	GO:0006260
YBL035C	GO:0016233
YBL035C	GO:0006273
YBL035C	GO:0006270
YBL036C	GO:0008150
YBL037W	GO:0006886
YBL037W	GO:0072583
YBL037W	GO:0016192
YBL037W	GO:0015031
YBL037W	GO:0006897
YBL038W	GO:0032543
YBL038W	GO:0006412
YBL039C	GO:0044210
YBL039C	GO:0019856
YBL039C	GO:0008654
YBL039C	GO:0006541
YBL039C	GO:0006241
YBL039C	GO:0006221
YBL039W-B	GO:0008150
YBL040C	GO:0016192
YBL040C	GO:0006621
YBL040C	GO:0006888
YBL040C	GO:0015031
YBL041W	GO:0010498
YBL041W	GO:0043161
YBL041W	GO:0010499
YBL041W	GO:0006508
YBL041W	GO:0051603
YBL042C	GO:0055085
YBL042C	GO:0015862
YBL042C	GO:0015851
YBL043W	GO:0071555
YBL043W	GO:0008150
YBL044W	GO:0008150
YBL045C	GO:0055114
YBL045C	GO:0022900
YBL045C	GO:0009060
YBL046W	GO:0043666
YBL046W	GO:0006470
YBL046W	GO:2000002
YBL047C	GO:0006897
YBL047C	GO:0030968
YBL047C	GO:0044396
YBL047C	GO:0032880
YBL047C	GO:0032467
YBL048W	GO:0008150
YBL049W	GO:0008150
YBL050W	GO:0006886
YBL050W	GO:0016192
YBL050W	GO:0006914
YBL050W	GO:0042144
YBL050W	GO:0015031
